id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,a few days or more,0,1,Central & Western,22.28044,114.15064,Entire home/apt,2,1024,3,26,2020/8/3,0.23,168,4.72,1
824618,?????????????????????????????????????????????????????????,4329021,Sanny,,,,Tuen Mun,22.37339,113.98763,Entire home/apt,3,279,30,0,,,84,,1
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,within an hour,1,0.91,Wan Chai,22.27742,114.18156,Entire home/apt,5,800,1,87,2022/9/13,0.81,13,4.42,1
850531,??????SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,,,Wan Chai,22.27981,114.19137,Private room,2,306,2,501,2020/7/5,4.24,0,4.88,1
860891,Two Bedroom Apartment W. MID-LEVELS  ?????€2????????? *??? MTR,4509858,Akiei,,,,Central & Western,22.28483,114.14237,Entire home/apt,4,1177,45,0,,,90,,3
860892,Two Bedrooms Apartmt @ W. Mid-Level  ?????€2????????? *??? MTR,4509858,Akiei,,,,Central & Western,22.28294,114.14081,Entire home/apt,4,1138,60,1,2017/12/1,0.02,88,5,3
861654,Fab' Quiet 1 B.R near Austin/Jordan MTR,3820308,David,within an hour,1,0.73,Yau Tsim Mong,22.30246,114.17543,Entire home/apt,3,509,2,35,2022/8/21,0.3,329,4.26,9
869969,Studio available in Prince Edward,4584648,Ivy,within a few hours,0.92,0.18,Kowloon City,22.32514,114.17712,Private room,1,217,30,2,2015/6/22,0.02,364,5,384
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,2,180,30,1,2014/5/29,0.01,351,4,384
894221,Best room for you near MTR,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31453,114.16863,Private room,1,180,30,0,,,365,,384
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31006,114.17138,Private room,1,140,31,1,2013/9/25,0.01,349,,384
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31188,114.17065,Private room,1,180,29,2,2018/9/30,0.02,365,4,384
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,,1,Yau Tsim Mong,22.32579,114.16701,Entire home/apt,8,1036,1,356,2021/3/21,3.11,49,4.75,2
944283,2 Bed Rooms heart of Central SOHO( sleeps 3),5100812,Nana,within a few hours,1,0.8,Central & Western,22.28457,114.15375,Entire home/apt,2,808,10,71,2022/7/20,0.61,156,4.56,2
956857,large Room- Heart of Soho/Central,5100812,Nana,within a few hours,1,0.8,Central & Western,22.28324,114.15418,Private room,2,471,45,5,2019/4/15,0.04,228,5,2
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,within a few hours,1,0.22,Central & Western,22.28526,114.14737,Entire home/apt,2,1040,3,37,2021/9/5,0.32,364,4.53,1
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,within an hour,1,0.86,Central & Western,22.28272,114.15307,Entire home/apt,3,546,2,155,2022/9/1,1.34,80,4.46,2
1008590,6 bed mixed dorm - Urban Pack Hostel,4812035,Urban Pack,within a few hours,1,1,Yau Tsim Mong,22.29796,114.17181,Shared room,1,115,30,110,2018/11/24,0.96,365,4.4,3
